Site,Haglof_Plot_ID,Tag,Haglof_ID,Species,Health_status,Date,Notes
UMBS,124,3600,3600,ACRU,L,43628,shares base with 3601
UMBS,124,3601,3601,ACRU,L,43628,shares base with 3600
UMBS,124,3602,3602,POGR,L,43628,
UMBS,124,3603,3603,QURU,L,43628,
UMBS,124,3604,3604,ACRU,L,43628,
UMBS,124,3605,3605,ACRU,L,43628,
UMBS,124,3606,3606,FAGR,L,43628,
UMBS,124,3607,3607,POGR,L,43628,
UMBS,124,3608,3608,ACRU,L,43628,Shares base with 3609
UMBS,124,3609,3609,ACRU,L,43628,Shares base with 3608
UMBS,124,3610,3610,FAGR,L,43628,shares base with 3611 and small third stem
UMBS,124,3611,3611,FAGR,L,43628,shares base with 3610 and small third stem
UMBS,124,3612,3612,ACRU,L,43628,
UMBS,124,3613,3613,FAGR,L,43628,shares base with small second stem
UMBS,124,3614,3614,FAGR,L,43628,
UMBS,124,3615,3615,QURU,G,43628,
UMBS,125,3616,3616,QURU,G,43628,
UMBS,124,3617,3617,QURU,G,43628,Was already dead as of girdling
UMBS,124,3618,3618,QURU,G,43628,
UMBS,124,3619,3619,POGR,G,43628,
UMBS,124,3620,3620,POGR,G,43628,
UMBS,124,3621,3621,FAGR,G,43628,
UMBS,125,3622,3622,FAGR,L,43628,
UMBS,125,3623,3623,FAGR,L,43628,shares base with small second stem
UMBS,125,3624,3624,FAGR,L,43628,
UMBS,125,3625,3625,FAGR,L,43628,
UMBS,125,2WP3,37,POGR,G,43628,00037 on haglof; accidentally girdled
UMBS,125,2WP2,38,POGR,L,43628,00038 on haglof
UMBS,125,2WQ3,39,QURU,L,43628,00039 on haglof
UMBS,125,2WA1,40,ACRU,L,43628,00040 on haglof
UMBS,125,2WQ1,41,QURU,L,43628,00041  on haglof
UMBS,125,2WA2,42,ACRU,L,43628,00042 on Haglof
UMBS,125,3626,3626,FAGR,L,43628,
UMBS,125,3627,3627,ACRU,L,43628,
UMBS,125,3628,3628,QURU,L,43628,shares base with 3629 and 3630
UMBS,125,3629,3629,QURU,L,43628,shares base with 3628 and 3630
UMBS,125,3630,3630,QURU,L,43628,shares base with 3628 and 3629
UMBS,125,3631,3631,POGR,D,43628,snag
UMBS,125,3632,3632,PIRE,L,43628,
UMBS,125,3633,3633,QURU,L,43628,
UMBS,125,3634,3634,ACRU,L,43628,
UMBS,125,3635,3635,QURU,G,43628,
UMBS,125,3636,3636,QURU,G,43628,
UMBS,125,3637,3637,QURU,G,43628,
UMBS,125,3638,3638,ACRU,L,43628,
UMBS,125,3639,3639,QURU,L,43628,shares base with 2WQ3
UMBS,125,3640,3640,ACRU,L,43628,
UMBS,125,3641,3641,QURU,G,43628,
UMBS,125,3642,3642,QURU,G,43628,
UMBS,125,3643,3643,QURU,G,43628,
UMBS,125,3644,3644,SNAG,D,43628,unidentifiable
UMBS,125,3645,3645,ACRU,L,43628,
UMBS,125,3646,3646,QURU,G,43628,
UMBS,125,3647,3647,QURU,L,43628,
UMBS,125,3648,3648,QURU,L,43628,
UMBS,125,3649,3649,QURU,L,43628,
UMBS,125,3650,3650,QURU,L,43628,Shares base with 3651
UMBS,125,3651,3651,QURU,L,43628,Shares base with 3650
UMBS,125,3652,3652,QURU,L,43628,Shares base with 3653 & 3654
UMBS,125,3653,3653,QURU,L,43628,Shares base with 3654 and 3652
UMBS,125,3654,3654,QURU,L,43628,Shares base with 3652 & 3653
UMBS,125,3655,3655,SNAG,D,43628,Snag
UMBS,125,3656,3656,FAGR,L,43628,two smaller stems from same base
UMBS,125,3657,3657,QURU,L,43628,
UMBS,125,3658,3658,QURU,L,43628,Shares base with 2WQ1
UMBS,125,3659,3659,ACRU,L,43628,Shares base with 3660
UMBS,125,3660,3660,ACRU,L,43628,Shares base with 3659
UMBS,125,3661,3661,QURU,L,43628,
UMBS,125,3662,3662,QURU,G,43628,
UMBS,125,3663,3663,POGR,D,43628,
UMBS,126,3664,3664,ACRU,L,43628,
UMBS,126,3665,3665,ACRU,L,43628,
UMBS,126,3666,3666,QURU,G,43628,
UMBS,126,3667,3667,ACRU,L,43628,shares base with 2WA2
UMBS,126,3668,3668,QURU,G,43628,
UMBS,126,3669,3669,QURU,G,43628,
UMBS,126,3670,3670,ACRU,L,43628,
UMBS,126,3671,3671,ACRU,L,43628,shares base with 3672
UMBS,126,3672,3672,ACRU,L,43628,shares base with 3671
UMBS,126,3673,3673,FAGR,L,43628,second small stem from same base
UMBS,126,3674,3674,QURU,L,43628,
UMBS,126,3675,3675,ACRU,L,43628,shares base with 2WA3
UMBS,126,3676,3676,ACRU,L,43628,second small stem from base
UMBS,126,3677,3677,POGR,L,43628,
UMBS,126,3678,3678,POGR,L,43628,
UMBS,126,3679,3679,FAGR,L,43628,
UMBS,126,3680,3680,POGR,L,43628,
UMBS,126,3681,3681,FAGR,L,43628,second small stem from base
UMBS,126,3682,3682,FAGR,L,43628,part of cluster including 3681-3
UMBS,126,3683,3683,FAGR,L,43628,part of cluster including 3681-3; second small stem from same base
UMBS,126,3684,3684,PIRE,D,43628,
UMBS,127,3685,3685,ACRU,L,43628,Shares base with 3686
UMBS,127,3686,3686,ACRU,L,43628,Shares base with 3685
UMBS,127,3687,3687,ACRU,L,43628,second small stem from base
UMBS,127,3688,3688,POGR,D,43628,snag
UMBS,127,3689,3689,QURU,L,43628,second dead stem from same base
UMBS,127,2WA3,43,ACRU,L,43628,0043 on Haglof
UMBS,127,2WP1,44,POGR,L,43628,0044 on Haglof
UMBS,127,2WQ2,45,QURU,L,43628,0045 on Haglof
UMBS,127,2EQ1,46,QURU,L,43628,0046 on Haglof
UMBS,127,2EA1,47,ACRU,L,43628,0047 on Haglof; part of stem cluster
UMBS,127,2EQ2,48,QURU,L,43628,0048 on Haglof
UMBS,127,2EP1,49,POGR,L,43628,0049 on Haglof
UMBS,127,2EQ3,50,QURU,L,43628,0050 on Haglof
UMBS,127,3690,3690,QURU,L,43628,
UMBS,127,3691,3691,ACRU,L,43628,Several small stems from same base
UMBS,127,3692,3692,QURU,D,43628,
UMBS,127,3693,3693,POGR,L,43628,Shares base with 2WP1 (twin trunks)
UMBS,127,3694,3694,ACRU,L,43628,Small stems from same base
UMBS,127,3695,3695,ACRU,D,43628,Shares base with 3696
UMBS,127,3696,3696,ACRU,L,43628,Shares base with 3695
UMBS,127,3697,3697,POGR,D,43628,Snag
UMBS,127,3698,3698,POGR,D,43628,Snag
UMBS,127,3699,3699,QURU,L,43628,
UMBS,127,3700,3700,ACRU,D,43628,Part of cluster including 3700-2 & 2EA1
UMBS,127,3701,3701,ACRU,L,43628,Part of cluster including 3700-2 & 2EA1
UMBS,127,3702,3702,ACRU,L,43628,Part of cluster including 3700-2 & 2EA1
UMBS,127,3703,3703,POGR,L,43628,
UMBS,127,3704,3704,POGR,L,43628,
UMBS,127,3705,3705,ACRU,L,43628,
UMBS,127,3706,3706,ACRU,L,43628,Shares base with 3707
UMBS,127,3707,3707,ACRU,L,43628,Shares base with 3706
UMBS,127,3708,3708,QURU,L,43628,
UMBS,127,3709,3709,QURU,L,43628,
UMBS,127,3710,3710,ACRU,L,43628,second small stem from base
UMBS,127,3711,3711,PIST,L,43628,
UMBS,127,3712,3712,PIST,L,43628,
UMBS,127,3713,3713,QURU,L,43628,Shares base with 3714 (twin trunks)
UMBS,127,3714,3714,QURU,L,43628,Shares base with 3713
UMBS,127,3715,3715,PIST,L,43628,
UMBS,127,3716,3716,QURU,L,43628,Shares base with 3717 (twin trunks)
UMBS,127,3717,3717,QURU,L,43628,Shares base with 3716 (twin trunks)
